id_questao,ano,dia,numero,variacao,area,disciplina,competencia,habilidade,dificuldade,tem_imagem,texto_vazio,confianca_mapeamento,tema_estimado,motivo_mapeamento,fallback_image_paths,gabarito,preview,source_csv
enem_2015_d1_q013_v1,2015,1,13,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q013_v01_p06_part01.png,D,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q014_v1,2015,1,14,1,Ciências Humanas,Sociologia,C5,H22,nao_classificada,true,false,média,Cultura e Identidade,Keywords de Ciências Humanas; score_disciplina=2; score_tema=1; matriz=C5-H22(média); score_matriz=7.60,,B,"Podemos conceber um cavalo virtuoso, porque somos Em sociedade de origens tão nitidamente capazes de conceber a virtu...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q015_v1,2015,1,15,1,Ciências Humanas,Filosofia,C3,H12,nao_classificada,true,false,alta,Ética e Política,Keywords de Ciências Humanas; score_disciplina=4; score_tema=3; matriz=C3-H12(alta); score_matriz=10.12,,D,Trasímaco estava impaciente porque Sócrates e os O Projeto Nova Cartografia Social da Amazônia seus amigos presumiam...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q016_v1,2015,1,16,1,Ciências Humanas,Ciências Humanas (geral),C2,H6,nao_classificada,false,false,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C2-H6(média); score_matriz=2.49,,A,tradições antigas. D convenções sociais resultantes de interesses Todo o poder criativo da mente se reduz a nada huma...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q017_v1,2015,1,17,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q017_v01_p07_part01.png,C,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q018_v1,2015,1,18,1,Ciências Humanas,História,C3,H12,nao_classificada,true,false,alta,História do Brasil,Keywords de Ciências Humanas; score_disciplina=2; score_tema=3; matriz=C3-H12(alta); score_matriz=17.43,,B,"A Justiça Eleitoral foi criada em 1932, como parte de ZIRALDO. 20 anos de prontidão. In: LEMOS, R. (Org.). Uma histór...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q019_v1,2015,1,19,1,Ciências Humanas,Sociologia,C5,H23,nao_classificada,false,false,média,Tema geral,Keywords de Ciências Humanas; score_disciplina=2; score_tema=0; matriz=C5-H23(média); score_matriz=9.97,,B,"Ora, em todas as coisas ordenadas a algum fim, é preciso haver algum dirigente, pelo qual se atinja diretamente o dev...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q020_v1,2015,1,20,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q020_v01_p08_part01.png,C,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q021_v1,2015,1,21,1,Ciências Humanas,Sociologia,C3,H13,nao_classificada,false,false,média,Cultura e Identidade,Keywords de Ciências Humanas; score_disciplina=1; score_tema=1; matriz=C3-H13(média); score_matriz=4.14,,E,"A manipulação e incompetência. Atualmente, as represálias econômicas contra as B ignorância e solidariedade. empresas...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q022_v1,2015,1,22,1,Ciências Humanas,História,C5,H23,nao_classificada,false,false,alta,História do Brasil,Keywords de Ciências Humanas; score_disciplina=3; score_tema=7; matriz=C5-H23(média); score_matriz=12.72,,E,"Bandeira do Brasil, és hoje a única. Hasteada a esta TEXTO I hora em todo o território nacional, única e só, não há l...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q023_v1,2015,1,23,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q023_v01_p09_part01.png,E,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q024_v1,2015,1,24,1,Ciências Humanas,História,C3,H15,nao_classificada,false,false,média,História do Brasil,Keywords de Ciências Humanas; score_disciplina=3; score_tema=1; matriz=C3-H15(média); score_matriz=5.64,,C,"HOBBES, T. Leviatã. São Paulo: Martins Fontes, 2003. A participação da África na Segunda Guerra Mundial deve ser apre...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q025_v1,2015,1,25,1,Ciências Humanas,Sociologia,C5,H22,nao_classificada,false,false,alta,Cultura e Identidade,Keywords de Ciências Humanas; score_disciplina=5; score_tema=2; matriz=C5-H22(média); score_matriz=20.81,,B,TEXTO I Não nos resta a menor dúvida de que a principal Em todo o país a lei de 13 de maio de 1888 libertou contribui...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q026_v1,2015,1,26,1,Ciências Humanas,Ciências Humanas (geral),C4,H20,nao_classificada,false,false,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C4-H20(média); score_matriz=5.98,,A,"no Texto I que complementa os argumentos apresentados no Texto II é o(a) A natureza fez os homens tão iguais, quanto...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q027_v1,2015,1,27,1,Ciências Humanas,Geografia,C6,H26,nao_classificada,true,false,média,Geografia Física,Keywords de Ciências Humanas; score_disciplina=1; score_tema=1; matriz=C6-H26(média); score_matriz=4.55,,D,"Figura 1. Diagrama das regiões de intemperismo para as condições brasileiras (adaptado de Peltier, 1950). 1. Muito Fr...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q028_v1,2015,1,28,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q028_v01_p11_part01.png,C,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q029_v1,2015,1,29,1,Ciências Humanas,História,C4,H20,nao_classificada,true,false,média,Tema geral,Keywords de Ciências Humanas; score_disciplina=1; score_tema=0; matriz=C4-H20(alta); score_matriz=14.40,,E,"No final do século XX e em razão dos avanços da ciência, produziu-se um sistema presidido pelas técnicas da informaçã...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q030_v1,2015,1,30,1,Ciências Humanas,História,C3,H13,nao_classificada,false,false,média,História Geral,Keywords de Ciências Humanas; score_disciplina=1; score_tema=1; matriz=C3-H13(média); score_matriz=8.96,,B,O que implica o sistema da pólis é uma Os movimentos de massa constituem-se no extraordinária preeminência da palavra...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q031_v1,2015,1,31,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,false,false,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,,C,E congregar a comunidade para eleger representantes com direito a pronunciar-se em assembleias.,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q032_v1,2015,1,32,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q032_v01_p12_part01.png,E,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q033_v1,2015,1,33,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,false,false,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,,A,"empíricos, o que existe no real. Tanto potencial poderia ter ficado pelo caminho, se não fosse o reforço em tecnologi...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q034_v1,2015,1,34,1,Ciências Humanas,Filosofia,C1,H5,nao_classificada,true,false,média,Teoria do Conhecimento,Keywords de Ciências Humanas; score_disciplina=3; score_tema=1; matriz=C1-H5(média); score_matriz=9.03,,C,Algumas regiões do Brasil passam por uma crise A filosofia grega parece começar com uma ideia de água por causa da se...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q035_v1,2015,1,35,1,Ciências Humanas,Sociologia,C3,H11,nao_classificada,false,false,média,Cultura e Identidade,Keywords de Ciências Humanas; score_disciplina=2; score_tema=2; matriz=C3-H11(média); score_matriz=5.61,,B,"buscou. Há pouco mais de oito anos, ele usava o bico Quanto ao “choque de civilizações”, é bom lembrar da botina para...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q036_v1,2015,1,36,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,false,false,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=3.13,,B,"SCHWARCZ, L. M. As barbas do imperador: D. Pedro II, um monarca nos trópicos. São Paulo: Cia. das Letras, 1998 (adapt...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q037_v1,2015,1,37,1,Ciências Humanas,Sociologia,C4,H20,nao_classificada,false,false,alta,Cidadania e Trabalho,Keywords de Ciências Humanas; score_disciplina=4; score_tema=4; matriz=C4-H20(alta); score_matriz=20.53,,B,No início foram as cidades. O intelectual da Idade Média — no Ocidente — nasceu com elas. Foi com o desenvolvimento u...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q038_v1,2015,1,38,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q038_v01_p14_part01.png,D,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q039_v1,2015,1,39,1,Ciências Humanas,Sociologia,C2,H8,nao_classificada,true,false,média,Tema geral,Keywords de Ciências Humanas; score_disciplina=1; score_tema=0; matriz=C2-H8(média); score_matriz=6.10,,A,"D afastamento de crenças tradicionais como uma Na sociedade contemporânea, onde as relações característica da moderni...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q040_v1,2015,1,40,1,Ciências Humanas,Filosofia,C4,H20,nao_classificada,false,false,alta,Teoria do Conhecimento,Keywords de Ciências Humanas; score_disciplina=2; score_tema=2; matriz=C4-H20(alta); score_matriz=12.69,,D,"Um carro esportivo é financiado pelo Japão, A crescente intelectualização e racionalização não projetado na Itália e...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q041_v1,2015,1,41,1,Ciências Humanas,Sociologia,C2,H10,nao_classificada,false,false,média,Cultura e Identidade,Keywords de Ciências Humanas; score_disciplina=4; score_tema=2; matriz=C2-H10(média); score_matriz=13.17,,C,"ser; o sujeito é famoso porque é falado. Nesse âmbito, a lógica circulatória do mercado, ao mesmo tempo que Diante de...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q042_v1,2015,1,42,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q042_v01_p15_part01.png,C,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q043_v1,2015,1,43,1,Ciências Humanas,Filosofia,C6,H29,nao_classificada,false,false,alta,Teoria do Conhecimento,Keywords de Ciências Humanas; score_disciplina=5; score_tema=5; matriz=C6-H29(alta); score_matriz=23.66,,A,"a preservação ambiental, que sugere uma ideia de Só num sentido muito restrito, o indivíduo cria com intocabilidade d...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q044_v1,2015,1,44,1,Ciências Humanas,Sociologia,C2,H8,nao_classificada,false,false,alta,Cidadania e Trabalho,Keywords de Ciências Humanas; score_disciplina=5; score_tema=2; matriz=C2-H8(alta); score_matriz=17.34,,B,"Ninguém nasce mulher: torna-se mulher. Nenhum A Unesco condenou a destruição da antiga capital destino biológico, psí...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q045_v1,2015,1,45,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,false,false,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=5.71,,D,"E estabelecimento de políticas governamentais para A questão ambiental, uma das principais pautas promover ações afir...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q046_v1,2015,1,46,1,Ciências da Natureza,Biologia,C4,H14,nao_classificada,false,false,alta,Fisiologia e Saúde,Keywords de Ciências da Natureza; score_disciplina=3; score_tema=2; matriz=C4-H14(alta); score_matriz=7.88,,D,"ecossistema aquático. Hipoxia ou mal das alturas consiste na diminuição de Considerando esse escurecimento das águas,...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q047_v1,2015,1,47,1,Ciências da Natureza,Ciências da Natureza (geral),C5,H19,nao_classificada,false,false,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C5-H19(média); score_matriz=1.00,,C,TECNOLOGIAS A indústria têxtil utiliza grande quantidade de corantes Questões de 46 a 90 no processo de tingimento do...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q048_v1,2015,1,48,1,Ciências da Natureza,Ciências da Natureza (geral),C5,H19,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C5-H19(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q048_v01_p17_part01.png,C,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q049_v1,2015,1,49,1,Ciências da Natureza,Física,C1,H3,nao_classificada,true,false,alta,Mecânica,Keywords de Ciências da Natureza; score_disciplina=8; score_tema=3; matriz=C1-H3(alta); score_matriz=32.16,,D,Muitos estudos de síntese e endereçamento de Um carro solar é um veículo que utiliza apenas a proteínas utilizam amin...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q050_v1,2015,1,50,1,Ciências da Natureza,Ciências da Natureza (geral),C5,H19,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C5-H19(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q050_v01_p18_part01.png,B,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q051_v1,2015,1,51,1,Ciências da Natureza,Química,C6,H22,nao_classificada,true,false,alta,Química Geral,Keywords de Ciências da Natureza; score_disciplina=3; score_tema=1; matriz=C6-H22(alta); score_matriz=7.48,,C,"A radiação ultravioleta (UV) é dividida, de acordo Um grupo de pesquisadores desenvolveu um com três faixas de frequê...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q052_v1,2015,1,52,1,Ciências da Natureza,Física,C2,H7,nao_classificada,false,false,alta,Ondulatória e Óptica,Keywords de Ciências da Natureza; score_disciplina=3; score_tema=2; matriz=C2-H7(alta); score_matriz=5.24,,A,"0,2 Filtro solar III A soda cáustica pode ser usada no desentupimento Filtro solar IV 0,1 Filtro solar V de encanamen...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q053_v1,2015,1,53,1,Ciências da Natureza,Ciências da Natureza (geral),C5,H19,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C5-H19(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q053_v01_p19_part01.png,A,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q054_v1,2015,1,54,1,Ciências da Natureza,Biologia,C7,H27,nao_classificada,true,false,alta,Genética e Evolução,Keywords de Ciências da Natureza; score_disciplina=19; score_tema=10; matriz=C7-H27(alta); score_matriz=9.72,,E,"Certos tipos de superfícies na natureza podem Um importante princípio da biologia, relacionado à refletir luz de form...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q055_v1,2015,1,55,1,Ciências da Natureza,Ciências da Natureza (geral),C5,H19,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C5-H19(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q055_v01_p20_part01.png,B,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q056_v1,2015,1,56,1,Ciências da Natureza,Física,C6,H21,nao_classificada,false,false,média,Termologia,Keywords de Ciências da Natureza; score_disciplina=1; score_tema=1; matriz=C6-H21(média); score_matriz=2.50,,E,Algumas raças de cães domésticos não conseguem liquefação. copular entre si devido à grande diferença em seus D retir...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q057_v1,2015,1,57,1,Ciências da Natureza,Química,C7,H26,nao_classificada,false,false,alta,Físico-Química,Keywords de Ciências da Natureza; score_disciplina=8; score_tema=5; matriz=C7-H26(alta); score_matriz=19.38,,C,A hidroponia pode ser definida como uma técnica O ar atmosférico pode ser utilizado para de produção de vegetais sem...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q058_v1,2015,1,58,1,Ciências da Natureza,Química,C3,H9,nao_classificada,false,false,alta,Química Geral,Keywords de Ciências da Natureza; score_disciplina=3; score_tema=1; matriz=C3-H9(alta); score_matriz=11.62,,B,- A) oscilação genética das raças. Alimentos em conserva são frequentemente - B) convergência adaptativa das raças. a...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q059_v1,2015,1,59,1,Ciências da Natureza,Ciências da Natureza (geral),C5,H19,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C5-H19(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q059_v01_p21_part01.png,A,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q060_v1,2015,1,60,1,Ciências da Natureza,Química,C1,H2,nao_classificada,true,false,média,Tema geral,Keywords de Ciências da Natureza; score_disciplina=14; score_tema=0; matriz=C1-H2(média); score_matriz=8.80,,A,Uma forma de organização de um sistema biológico O permanganato de potássio (KMnO4) é um agente é a presença de sinai...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q061_v1,2015,1,61,1,Ciências da Natureza,Química,C3,H9,nao_classificada,false,false,alta,Química Orgânica,Keywords de Ciências da Natureza; score_disciplina=7; score_tema=4; matriz=C3-H9(média); score_matriz=8.98,,D,"O nitrogênio é essencial para a vida e o maior reservatório global desse elemento, na forma de N2, CH3 é a atmosfera....",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q062_v1,2015,1,62,1,Ciências da Natureza,Ciências da Natureza (geral),C5,H19,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C5-H19(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q062_v01_p22_part01.png,A,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q063_v1,2015,1,63,1,Ciências da Natureza,Física,C6,H21,nao_classificada,false,false,alta,Mecânica,Keywords de Ciências da Natureza; score_disciplina=5; score_tema=2; matriz=C6-H21(média); score_matriz=2.50,,D,"Uma pessoa abre sua geladeira, verifica o que há dentro e depois fecha a porta dessa geladeira. Em seguida, ela tenta...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q064_v1,2015,1,64,1,Ciências da Natureza,Química,C1,H2,nao_classificada,false,false,alta,Físico-Química,Keywords de Ciências da Natureza; score_disciplina=5; score_tema=1; matriz=C1-H2(alta); score_matriz=11.22,,B,"Em um experimento, colocou-se água até a metade Uma análise criteriosa do desempenho de Usain da capacidade de um fra...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q065_v1,2015,1,65,1,Ciências da Natureza,Ciências da Natureza (geral),C5,H19,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C5-H19(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q065_v01_p23_part01.png,D,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q066_v1,2015,1,66,1,Ciências da Natureza,Física,C1,H4,nao_classificada,false,false,alta,Termologia,Keywords de Ciências da Natureza; score_disciplina=2; score_tema=6; matriz=C1-H4(média); score_matriz=7.07,,E,Uma garrafa térmica tem como função evitar a A cariotipagem é um método que analisa células de troca de calor entre o...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q067_v1,2015,1,67,1,Ciências da Natureza,Química,C1,H3,nao_classificada,false,false,média,Tema geral,Keywords de Ciências da Natureza; score_disciplina=1; score_tema=0; matriz=C1-H3(média); score_matriz=3.74,,D,"E maior que 55% Durante uma expedição, um grupo de estudantes Para atribuir uma categoria a um modelo de garrafa perd...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
